"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_brand","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_capacity","attribute_data:pa_capacity","attribute_default:pa_capacity","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color"
"Bodum Brazil Coffee Press 8 Cup","bodum-brazil-coffee-press-8-cup","1279","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:33:21","0","open","W027","no","no","visible","","instock","no","no","43","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Bodum-Coffee-Press-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Bodum-Coffee-Press-2.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Bodum-Coffee-Press-3.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Bodum-Coffee-Press-4.jpg","","simple","Coffee &amp; Tea|Coffee Plungers","","","0","","","","","",""
"Dualit Food XL1500 Processor","dualit-food-xl1500-processor","1280","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:33:40","0","open","W026","no","no","visible","","instock","no","no","560","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Dualit-Food-Processor-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Dualit-Food-Processor-2.png","","simple","Appliances|Food Processors","","","0","","","","","",""
"Eva Solo My Teapot","eva-solo-my-teapot","1281","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:33:51","0","open","W025","no","no","visible","","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Eva-Solo-Teapot-1.jpg","","variable","Coffee &amp; Tea|Teamakers","","","0","","","","Black|White","1|0|1",""
"Kenwood kMix Manual Espresso Machine","kenwood-kmix-manual-espresso-machine","1282","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:34:04","0","open","W024","no","no","visible","","instock","no","no","","","","","","","taxable","","1285","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Espresso-Machine-4.jpg","","variable","Coffee &amp; Tea|Manual Espresso Machines","","","0","","","","Black|Red","1|0|1",""
"Kenwood kMix Two Slice Toaster","kenwood-kmix-two-slice-toaster","1283","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:34:16","0","open","W023","no","no","visible","","instock","no","no","","","","","","","taxable","","","","yes","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Toaster-6.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Toaster-11.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Toaster-21.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Toaster-31.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Toaster-41.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kenwood-Toaster-51.jpg","","variable","Appliances|Toasters","","","0","","","","Black|Blue|Green|Orange|Red|Yellow","1|1|1",""
"Kitchen Craft Home Made Glass Terrine Jars","kitchen-craft-home-made-glass-terrine-jars","1284","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:34:36","0","open","W022","no","no","visible","","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Kitchen-Craft-Jar-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kitchen-Craft-Jar-2.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kitchen-Craft-Jar-3.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Kitchen-Craft-Jar-4.jpg","","variable","Canning &amp; Preserving|Tools","","","0","125ml|200ml|350ml","1|1|1","125ml","","",""
"KitchenAid Artisan Espresso Machine","kitchenaid-artisan-espresso-machine","1285","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:34:50","0","open","W021","no","no","visible","","instock","no","no","1140","","","","","","taxable","","","","yes","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Espresso-Machine-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Espresso-Machine-2.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Espresso-Machine-3.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Espresso-Machine-4.jpg","","simple","Coffee &amp; Tea|Manual Espresso Machines","","","0","","","","","",""
"KitchenAid Artisan Stand Mixer","kitchenaid-artisan-stand-mixer","1286","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:36:22","0","open","W020","no","no","visible","","instock","no","no","39","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-2.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-3.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-4.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-5.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-6.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Stand-Mixer-7.jpg","","simple","Appliances|Mixers &amp; Attachments","","","0","","","","","",""
"KitchenAid Waffle Maker","kitchenaid-waffle-maker","1287","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:37:05","0","open","W019","no","no","visible","","instock","no","no","515","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Waffle-Maker-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Waffle-Maker-2.jpg|http://demo2.woothemes.com/superstore/files/2012/12/KitchenAid-Waffle-Maker-3.jpg","","simple","Appliances|Speciality","","","0","","","","","",""
"Krups IceCream Maker","krups-icecream-maker","1288","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.</p>","<p>Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo. Quisque sit amet est et sapien ullamcorper pharetra. Vestibulum erat wisi, condimentum sed, commodo vitae, ornare sit amet, wisi. Aenean fermentum, elit eget tincidunt condimentum, eros ipsum rutrum orci, sagittis tempus lacus enim ac dui. Donec non enim in turpis pulvinar facilisis. Ut felis. Praesent dapibus, neque id cursus faucibus, tortor neque egestas augue, eu vulputate magna eros eu erat. Aliquam erat volutpat. Nam dui mi, tincidunt quis, accumsan porttitor, facilisis luctus, metus</p>","publish","0","2012-12-10 14:37:37","0","open","W018","no","no","visible","","instock","no","no","85","","","","","","taxable","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/superstore/files/2012/12/Krups-Ice-Cream-Maker-2.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Krups-Ice-Cream-Maker-1.jpg|http://demo2.woothemes.com/superstore/files/2012/12/Krups-Ice-Cream-Maker-3.jpg","","simple","Appliances|Speciality","","","0","","","","","",""
